# 概念索引の受け渡し（生成物・手で直さない）
# 列: concept_id<TAB>見出し<TAB>初出アンカー<TAB>用語集の初出記述
# 典拠は 80_メタ文書/MANES_本書用語集_v0.md（集合・初出とも。仕様 §6-3）。
# concept_id の空欄は「台帳に未採番」であって欠落ではない（論点②・未裁定）。
# 頁は入っていない。組版側が target-counter で解く（仕様 §6-3 の分担）。
# 並びは五十音（読み鍵・2026-08-13 裁定）。組版はこの行順のまま組む。
tragic-sense-of-compressing-being	圧縮する存在の悲劇的感情	ch27-s3	第27章 §27-3
capture-into-asymmetry	非対称性への捕獲	ch18-s2	第18章 §18-2
hineni	Hineni	ch24-s5	第24章 §24-5
coverage	被覆	ch17-s1	第17章 §17-1
coverage-condition	被覆条件	ch19-s2	第19章 §19-2
open-circulation-closed-inertia	開いた循環／閉じた慣性	ch8-s4	第8章 §8-4
breadth-and-resolution	広がりと解像度	ch1-s3	第1章 §1-3
volume-effective-gradient-width	広さ／有効勾配／有効幅	ch3-s2	第3章 §3-2
foe-at-anchor	錨泊FOE	ch19-s3	第19章 §19-3
three-modes-of-inequality-breach	不等式破綻の三様態	introduction-s7	序論 §7
intercivilizational-competitive-exclusion	文明間競争排除	ch19-s4	第19章 §19-4
civilizational-ridge-and-arete	文明の尾根／文明の痩せ尾根（civilizational ridge / civilizational arête）	ch24-s2	第24章 §24-2
phase-transition-of-civilization	文明の構築と崩壊の位相転換	ch7-s2	第7章 §7-2
friction	摩擦	ch2-s2	第2章 §2-2
manes	MANES（意味の錨）	ch6	第6章
wear-mechanism	摩耗機構	ch26-s1	第26章 §26-1
man-i-es	MAN-I-ES	ch26-s4	第26章 §26-4
man-i-es-coordinate-system	MAN-I-ESの座標系（結論・到達点）	conclusion-s2	結論 §2
indeterminacy	未確定性	ch27-s1	第27章 §27-1
three-civilizational-phases	三つの文明相（拡張加速相・循環耐久相・管理安定相）	ch16-s6	第16章 §16-6
undifferentiated-region	未分化領域	ch3-s2	第3章 §3-2
hope-apparatus-and-borrowing	未来への希望装置／前借りの構造	ch11	第11章
innocent-intelligence	無垢の知性	ch25-s8	第25章 §25-8
proposition-funnel-1	命題FUNNEL-1（保つコストの非自動性）	ch17-s2	第17章 §17-2
mourning	Mourning（喪）	ch13	第13章
u-unresolved	U（未決）	ch2-s3	第2章 §2-3
fidelity-to-the-wavering	揺らぎの堅持／不可知への応答（F 接地責任の二段相）	ch25-s6	第25章 §25-6
four-dimensional-parent-coordinate-system	四次元親座標系（とスナップショット図）	ch16-s1	第16章 §16-1
four-stances	四つの立場（同伴への四応答：デウス・コンテントゥス・キュリオセス・マネス）	ch23-s5	第23章 §23-5
theory-self-diagnosis	理論の自己診断	conclusion-s3	結論 §3
leffla	LEFFLA（評価されないまま保持される潜在的有効領域）	ch3-s2	第3章 §3-2
funnel-model	漏斗モデル	ch17-s3	第17章 §17-3
lot	LOT（構造化された盲点）	ch3-s2	第3章 §3-2
